,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
221,23.0,Sat,2021-02-27,15:30,Bayern Munich,2.1,5,1,1.0,Köln,,Allianz Arena,Martin Petersen,Match Report,
222,23.0,Sat,2021-02-27,15:30,Dortmund,3.6,3,0,0.6,Arminia,,Signal Iduna Park,Tobias Reichel,Match Report,
223,23.0,Sat,2021-02-27,15:30,Stuttgart,2.5,5,1,1.5,Schalke 04,,Mercedes-Benz Arena,Guido Winkmann,Match Report,
224,23.0,Sat,2021-02-27,18:30,RB Leipzig,1.8,3,2,1.3,MGladbach,,Red Bull Arena,Manuel Gräfe,Match Report,
225,23.0,Sun,2021-02-28,13:30,Union Berlin,1.0,1,1,1.3,Hoffenheim,,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
226,23.0,Sun,2021-02-28,15:30,Mainz 05,0.6,0,1,1.6,Augsburg,,Opel Arena,Daniel Schlager,Match Report,
227,23.0,Sun,2021-02-28,18:00,Leverkusen,1.6,1,2,1.4,Freiburg,,BayArena,Felix Zwayer,Match Report,
228,,,,,,,NA,NA,,,,,,,
229,24.0,Fri,2021-03-05,20:30,Schalke 04,0.1,0,0,1.1,Mainz 05,,Veltins-Arena,Felix Brych,Match Report,
230,24.0,Sat,2021-03-06,15:30,Hertha BSC,2.3,2,1,0.4,Augsburg,,Olympiastadion Berlin,Florian Badstübner,Match Report,
231,24.0,Sat,2021-03-06,15:30,Freiburg,0.1,0,3,1.8,RB Leipzig,,Schwarzwald-Stadion,Guido Winkmann,Match Report,
232,24.0,Sat,2021-03-06,15:30,MGladbach,0.6,0,1,1.6,Leverkusen,,Stadion im Borussia-Park,Daniel Siebert,Match Report,
233,24.0,Sat,2021-03-06,15:30,Eint Frankfurt,1.6,1,1,0.5,Stuttgart,,Commerzbank-Arena,Robert Schröder,Match Report,
234,24.0,Sat,2021-03-06,15:30,Hoffenheim,1.1,2,1,1.9,Wolfsburg,,PreZero Arena,Markus Schmidt,Match Report,
235,24.0,Sat,2021-03-06,18:30,Bayern Munich,2.9,4,2,0.6,Dortmund,,Allianz Arena,Marco Fritz,Match Report,
236,24.0,Sun,2021-03-07,15:30,Köln,1.6,1,1,1.3,Werder Bremen,,RheinEnergieSTADION,Matthias Jöllenbeck,Match Report,
237,24.0,Sun,2021-03-07,18:00,Arminia,0.5,0,0,0.8,Union Berlin,,SchücoArena,Harm Osmers,Match Report,
238,,,,,,,NA,NA,,,,,,,
239,20.0,Wed,2021-03-10,18:30,Arminia,2.6,0,2,1.5,Werder Bremen,,SchücoArena,Markus Schmidt,Match Report,
240,,,,,,,NA,NA,,,,,,,
241,25.0,Fri,2021-03-12,20:30,Augsburg,1.6,3,1,3.0,MGladbach,,WWK Arena,Sven Jablonski,Match Report,
242,25.0,Sat,2021-03-13,15:30,Werder Bremen,1.2,1,3,3.0,Bayern Munich,,Weserstadion,Manuel Gräfe,Match Report,
243,25.0,Sat,2021-03-13,15:30,Wolfsburg,1.7,5,0,0.2,Schalke 04,,Volkswagen Arena,Sören Storks,Match Report,
