"","V1","V2","V3"
"615",2.9,3.5,2.37
"616",1.3,5.5,9.5
"617",1.5,4.75,5.5
"618",2.25,3.1,3.5
"619",3.9,3.9,1.85
"620",3.4,3,2.35
"621",3.5,3.4,2.15
"622",2.05,3.5,3.6
"623",1.85,3.5,4.5
"624",3,3.25,2.4
"625",1.33,5.75,8
"626",1.5,4.75,5.75
"627",2.5,3.5,2.7
"628",3.2,3.8,2.1
"629",2.05,3.6,3.4
"630",4,3.8,1.85
"631",5,4.2,1.61
"632",3,3.75,2.2
"633",2.7,3.4,2.6
"634",1.8,3.75,4.33
"635",2.1,3.2,3.8
"636",1.85,4,3.8
"637",2.3,3.5,3
"638",2.7,3.2,2.8
"639",1.6,3.8,6
"640",2.75,3.1,2.75
"641",2.2,3.3,3.4
"642",2.3,3.25,3.25
"643",1.9,3.5,4
"644",1.8,3.6,4.33
"645",2.55,3.3,2.8
"646",3.2,3.2,2.3
"647",2.05,3.25,3.75
"648",5.5,4.2,1.57
"649",3.2,3,2.45
"650",4.33,4.1,1.72
"651",2.37,3.5,2.9
"652",1.2,7,13
"653",1.2,7,13
"654",9,6.25,1.28
"655",2.5,3.4,2.7
"656",1.16,7.5,16
"657",4.75,3.8,1.72
"658",2.05,3.4,3.5
"659",7.5,4.75,1.4
"660",1.33,5.25,9
"661",4,3.3,2
"662",1.95,3.8,3.6
"663",1.36,5.25,7.5
"664",1.33,5.25,9
"665",1.12,8.5,17
"666",2.6,3.2,2.8
"667",1.66,4,4.75
"668",1.4,4.75,7
"669",1.25,6,11
"670",2.15,3.25,3.5
"671",3.25,3.4,2.1
"672",2.2,3.2,3.3
"673",1.33,4.75,9
"674",4,3.5,1.95
"675",1.7,3.8,5
"676",1.66,4,4.75
"677",1.72,4,4.5
"678",2.8,2.9,2.8
"679",1.75,3.6,4.5
"680",2.05,3.5,3.6
"681",3.25,3.8,2.05
"682",2.15,3.4,3.4
"683",2,3.5,3.75
"684",2.05,3.4,3.75
"685",2.1,3.8,3.1
"686",2.1,3.6,3.4
"687",4.75,3.6,1.72
"688",1.5,4.33,6.5
"689",2.5,3.5,2.75
"690",2.62,3.5,2.62
"691",1.75,3.75,4.5
"692",2.25,3.6,3
"693",2.5,3.5,2.75
"694",2.05,3.25,3.8
"695",5.25,3.8,1.66
"696",4,3.5,1.9
"697",2.9,3.1,2.55
"698",5,3.9,1.66
"699",2.87,3.5,2.4
"700",3.6,3.6,2
"701",3.5,4,1.95
"702",3.6,3.75,1.95
"703",1.1,11,19
"704",2.5,3.5,2.7
"705",2,3.5,3.8
"706",1.4,5,7
"707",1.36,5.75,7
"708",1.4,4.33,9.5
"709",3.6,3.6,2
"710",1.45,4.75,6.5
"711",8.5,5,1.36
"712",6.5,4.75,1.44
"713",1.5,4.5,6
"714",1.95,3.6,3.75
"715",2.3,3.75,2.87
"716",2.87,3.2,2.55
"717",2.3,3.1,3.4
"718",1.85,3.6,4.2
"719",3,3.4,2.37
"720",2.05,3.5,3.6
"721",2.15,3.3,3.5
"722",2.1,3.6,3.4
"723",1.66,4.33,4.5
"724",3.8,3.5,1.95
"725",2.8,3.5,2.45
"726",2.62,3.3,2.7
"727",2.5,3.4,2.8
"728",1.95,3.6,3.8
"729",6.5,4.33,1.5
"730",7.5,5.25,1.36
"731",1.3,5.5,9.5
"732",1.5,4.33,6.5
"733",4.5,4,1.72
"734",4.75,3.5,1.8
"735",5.75,4.33,1.55
"736",1.83,4.2,3.8
"737",2.45,3.1,3.1
"738",2.45,3.4,2.9
"739",1.72,4,4.5
"740",2.3,3.6,2.8
"741",1.65,4.2,4.75
