nom1,nom,Nation,Pos,equip,Born,partits,minuts,gls,xg,ast,xa,ong,onga,CmpS,CmpS_perc,CmpM,CmpM_perc,CmpL,CmpL_perc,KP,Last13,PPA,CrsPA,SoT_perc,Sh90,tklw,int
Christian Eriksen,Christian-Eriksen,dk DEN,MFFW,Tottenham,1992.0,53,2562,0.12448721132356592,0.17672460888999256,0.14718152470821952,0.21135833126396822,1.8005338962006454,1.1512143034517008,22.13298245614035,87.91999999999999,17.70315789473684,80.95087719298247,6.915684210526315,51.16842105263158,2.248491228070175,5.016807017543859,1.473157894736842,0.14119298245614034,31.553333333333338,2.2468771929824563,0.7346315789473683,0.4940701754385965
Christian Fuchs,Christian-Fuchs,at AUT,DF,Leicester City,1986.0,20,1474,0.0,0.01677389705882353,0.0,0.0067738970588235295,1.7174172794117644,1.1567738970588235,24.67926829268293,89.62439024390243,27.48048780487805,88.24146341463415,7.684512195121951,55.69146341463415,0.18243902439024393,5.060121951219512,0.42780487804878053,0.12475609756097564,10.487804878048781,0.5467073170731708,1.0975609756097562,1.5871951219512197
Christian Gebauer,Christian-Gebauer,at AUT,MFFW,Arminia,1993.0,16,576,0.16,0.23,0.16,0.07,0.94,2.03,9.69,82.7,5.16,66.0,1.56,38.5,1.09,0.78,0.47,0.16,37.5,1.25,0.78,0.78
Christian Gentner,Christian-Gentner,de GER,MF,Union Berlin,1985.0,45,2990,0.09298840825558383,0.08762793327678824,0.05917444161718971,0.09237206672321177,1.2683488832343792,1.3193723494486853,13.338855421686747,82.6105421686747,11.375602409638553,79.45120481927711,3.1053313253012043,52.34277108433734,0.9016265060240963,3.5216265060240963,0.9016265060240963,0.24021084337349397,27.18162650602409,1.1756626506024097,1.3263253012048193,0.9636746987951806
Christian Groß,Christian-Gross,de GER,DFMF,Werder Bremen,1989.0,31,1857,0.0,0.02,0.03119282195636875,0.023863476425052776,1.2597748064743137,2.086308937368051,15.439320388349515,92.0373786407767,23.12378640776699,90.14708737864076,7.135533980582523,75.09611650485436,0.24703883495145632,3.059320388349514,0.14233009708737862,0.047087378640776695,0.0,0.28883495145631066,1.5045631067961165,1.3073300970873787
Christian Günter,Christian-Gunter,de GER,DF,Freiburg,1993.0,60,5369,0.04178752107925801,0.026964586846543,0.20357504215851602,0.18875210792580102,1.423389544688027,1.423389544688027,13.266164154103851,86.69363484087103,15.17571189279732,78.32412060301507,4.807102177554438,47.345393634840875,2.1086934673366833,1.9619430485762146,1.7267671691792295,1.1924120603015076,24.599664991624792,0.7854773869346734,0.6843551088777219,0.4872696817420436
Christian Kabasele,Christian-Kabasele,be BEL,DF,Watford,1991.0,27,2250,0.0,0.04,0.08,0.02,1.16,1.4,5.2,87.2,9.4,86.4,4.4,55.8,0.12,1.52,0.0,0.0,12.5,0.32,0.96,0.96
Christian Kouamé,Christian-Kouame,ci CIV,FW,Genoa,1997.0,42,1989,0.37795298726738497,0.25654260528893247,0.15935357492654262,0.08443356186745021,1.3031798889977149,1.967022526934378,12.102262443438912,81.55565610859729,6.2485067873303155,80.42895927601809,1.1732126696832577,67.88009049773756,1.1316742081447964,1.1326696832579184,0.7662895927601809,0.1376470588235294,35.91176470588235,2.3053846153846154,0.6300452488687782,0.31633484162895925
Christian Maggio,Christian-Maggio,it ITA,DF,Benevento,1982.0,8,297,0.0,0.03,0.0,0.0,0.91,3.94,17.0,84.8,13.9,82.1,2.12,43.8,0.0,1.21,0.0,0.0,0.0,0.61,1.52,0.61
Christian Oliva,Christian-Oliva,uy URU,MF,Cagliari,1996.0,25,989,0.12452617627567926,0.02141153081510934,0.2431477799867462,0.03699801192842942,1.613836978131213,1.6729754804506296,15.648181818181818,91.13272727272728,16.047272727272727,89.43545454545455,4.725545454545455,65.26636363636364,0.5446363636363636,5.276,0.4579090909090909,0.08981818181818182,29.378181818181815,0.36690909090909085,1.546909090909091,1.0901818181818184
